SegmentInL1	SegmentInL2
Tu es folle, tais-toi.	You're crazy. Be quiet.
ANTIGONE	ANTIGONE
Non, je ne me tairai pas ! Je veux savoir comment je m'y prendrais, moi aussi, pour être heureuse. Tout de suite, puisque c'est tout de suite qu'il faut choisir. Vous dites que c'est si beau, la vie. Je veux savoir comment je m'y prendrai pour vivre.	No, I won't be quiet! I want to know what I need to do to be happy. Right now, because I need to choose right now. You say life is so beautiful. I want to know what I'll need to do to live.
CREON	CREON
Tu aimes Hémon ?	Do you love Haemon?
ANTIGONE	ANTIGONE
Oui, j'aime Hémon. J'aime un Hémon dur et jeune ; un Hémon exigeant et fidèle, comme moi.	Yes, I love Haemon. I love a Haemon who's strong and young, a Haemon who's demanding and faithful, like I am.
Mais si votre vie, votre bonheur doivent passer sur lui avec leur usure, si Hémon ne doit plus pâlir quand je pâlis, s'il ne doit plus me croire morte quand je suis en retard de cinq minutes, s'il ne doit plus se sentir seul au monde et me détester quand je ris sans qu'il sache pourquoi, s'il doit devenir près de moi le monsieur Hémon, s'il doit apprendre à dire « oui », lui aussi, alors je n'aime plus Hémon.	"But if he has to keep paying interest to keep your happiness and your life, if Haemon no longer becomes pale when I become pale, if he no longer thinks I'm dead when I'm five minutes late, if he no longer feels alone in the world and hates me when I laugh and he doesn't know why, if he turns into Mr Haemon and learns to say ""yes"" like everyone else, then no, I don't love Haemon anymore."
CREON	CREON
Tu ne sais plus ce que tu dis. Tais-toi.	You don't know what you're saying. Be quiet.
ANTIGONE	ANTIGONE
Si, je sais ce que je dis, mais c'est vous qui ne m'entendez plus. Je vous parle de trop loin maintenant, d'un royaume où vous ne pouvez plus entrer avec vos rides, votre sagesse, votre ventre.	Yes, I do know what I'm saying. It's you that can't hear me. I'm talking to you from too far away, from a place you can't enter with your wrinkles, your accumulated wisdom, your fat stomach.
(Elle rit.)	(She laughs.)
Ah ! je ris, Créon, je ris parce que je te vois à quinze ans, tout d'un coup ! C'est le même air d'impuissance et de croire qu'on peut tout. La vie t'a seulement ajouté ces petits plis sur le visage et cette graisse autour de toi.	Ah, I'm laughing, Creon, I'm laughing because suddenly I can see you when you were fifteen! Just that same mixture of believing you can do anything and being completely powerless. All life's done is add a few lines on your face and make you fatter.
CREON,	CREON,
la secoue.	shaking her.
Te tairas-tu, enfin ?	Will you finally be quiet?
ANTIGONE	ANTIGONE
Pourquoi veux-tu me faire taire ? Parce que tu sais que j'ai raison ? Tu crois que je ne lis pas dans tes yeux que tu le sais ? Tu sais que j'ai raison, mais tu ne l'avoueras jamais parce que tu es en train de défendre ton bonheur en ce moment comme un os.	Why do you want me to be quiet? Because you know I'm right? You think I can't see in your eyes that I know that? You know I'm right, but you'll never admit it, because you're clinging on to your happiness like a dog with a bone.
CREON	CREON
Le tien et le mien, oui, imbécile !	Yes, your happiness and mine, you idiot!
ANTIGONE	ANTIGONE
Vous me dégoûtez tous, avec votre bonheur ! Avec votre vie qu'il faut aimer coûte que coûte. On dirait des chiens qui lèchent tout ce qu'ils trouvent. Et cette petite chance pour tous les jours, si on n'est pas trop exigeant.	You all disgust me with your happiness! With your life that you have to love, whatever it costs. Yes, like a dog, like those dogs that lick everything they find. And that little chance that it'll all work out, as long as you don't ask for too much.
Moi, je veux tout, tout de suite, - et que ce soit entier - ou alors je refuse ! Je ne veux pas être modeste, moi, et me contenter d'un petit morceau si j'ai été bien sage. Je veux être sûre de tout aujourd'hui et que cela soit aussi beau que quand j'étais petite - ou mourir.	Well I want it all, now, the whole thing - or else I refuse! I don't want to be modest and say a little bit is enough if I've been a good girl. I want to be sure of everything today and I want it to be as wonderful as when I was small - or I want to die!
CREON	CREON
Allez, commence, commence, comme ton père!	That's right, go on, go on, just like your father!
ANTIGONE	ANTIGONE
Comme mon père, oui ! Nous sommes de ceux qui posent les questions jusqu'au bout. Jusqu'à ce qu'il ne reste vraiment plus la plus petite chance d'espoir vivante, la plus petite chance d'espoir à étrangler. Nous sommes de ceux qui lui sautent dessus quand ils le rencontrent, votre espoir, votre cher espoir, votre sale espoir !	Like my father, yes! We're the kind of people who get to the bottom of things. Right until there really isn't the smallest amount of hope left, the tiniest little possibility of hope to strangle. We're the kind of people who jump on when we see it, your hope, your dear hope, your filthy hope!
CREON	CREON
Tais-toi ! Si tu te voyais en criant ces mots, tu es laide.	Be quiet! If you could see how ugly you are while you're screaming all this.
ANTIGONE	ANTIGONE
Oui, je suis laide ! C'est ignoble, n'est-ce pas, ces cris, ces sursauts, cette lutte de chiffonniers.	Yes I am ugly! It's so disgusting, isn't it, this shouting, this grabbing at each other like beggars fighting.
Papa n'est devenu beau qu'après, quand il a été bien sûr, enfin, qu'il avait tué son père, que c'était bien avec sa mère qu'il avait couché, et que rien, plus rien ne pouvait le sauver.	Papa only became beautiful afterwards, when finally he was quite sure that he had killed his father, that it really was his mother he had slept with, and nothing, absolutely nothing could save him anymore.
Alors, il s'est calmé tout d'un coup, il a eu comme un sourire, et il est devenu beau. C'était fini.	He calmed down all at once, it was almost like he smiled, and he was beautiful. It was over.
Il n'a plus eu qu'à fermer les yeux pour ne plus vous voir.	He just had to close his eyes to stop seeing you.
Ah ! vos têtes, vos pauvres têtes de candidats au bonheur ! C'est vous qui êtes laids, même les plus beaux. Vous avez tous quelque chose de laid au coin de l'œil ou de la bouche.	Ah, your faces, your poor faces all thirsting after happiness! You're the ugly ones, even the most beautiful. You have something ugly around your eyes and your mouths.
Tu l'as bien dit tout à l'heure, Créon, la cuisine. Vous avez des têtes de cuisiniers !	You said it just now, Creon. The kitchen. You all have cooks' faces!
CREON,	CREON,
lui broie le bras.	twisting her arm.
Je t'ordonne de te taire maintenant, tu entends ?	I order you to keep quiet, do you understand?
ANTIGONE	ANTIGONE
Tu m'ordonnes, cuisinier ? Tu crois que tu peux m'ordonner quelque chose ?	You order me, cook? You think you can order me to do anything?
CREON	CREON
L'antichambre est pleine de monde. Tu veux donc te perdre ? On va t'entendre.	The room outside is full of people. You want them to hear you?
ANTIGONE	ANTIGONE
Eh bien, ouvre les portes. Justement, ils vont m'entendre !	Good, open the doors! That's right, they'll hear me!
CREON,	CREON,
qui essaie de lui fermer la bouche de force.	trying to close her mouth by force
Vas-tu te faire, enfin, bon Dieu ?	Good God, will you finally shut up?
ANTIGONE,	ANTIGONE,
se débat.	resisting
Allons vite, cuisinier ! Appelle tes gardes !	Go on, cook! Call the guards!
La porte s'ouvre.	The door opens.
Entre Ismène.	Enter Ismene.
TABLEAU XIII : ANTIGONE, CREON, ISMENE	SCENE XIII: ANTIGONE, CREON, ISMENE
ISMENE,	ISMENE
dans un cri.	cries.
Antigone !	Antigone!
ANTIGONE	ANTIGONE
Qu'est-ce que tu veux, toi aussi ?	What do you want, you too?
ISMENE	ISMENE
Antigone, pardon ! Antigone, tu vois, je viens, j'ai du courage. J'irai maintenant avec toi.	Antigone, forgive me! Antigone, you see, I'm coming, I'm not scared. I'll go with you.
ANTIGONE	ANTIGONE
Où iras-tu avec moi ?	Where are you going with me?
ISMENE	ISMENE
Si vous la faites mourir, il faudra me faire mourir avec elle !	If you have her killed, you'll have to kill me too!
ANTIGONE	ANTIGONE
Ah ! non. Pas maintenant. Pas toi ! C'est moi, c'est moi seule. Tu ne te figures pas que tu vas venir mourir avec moi maintenant. Ce serait trop facile !	Oh no! Not now. Not you! It's me, it's just me. You don't imagine you can come and die with me now. That would be too easy!
ISMENE	ISMENE
Je ne veux pas vivre si tu meurs, je ne veux pas rester sans toi !	I don't want to live if you die, I don't want to stay here without you!
ANTIGONE	ANTIGONE
Tu as choisi la vie et moi la mort. Laisse-moi maintenant avec tes jérémiades.	You've chosen life and I've chosen death. So leave me alone and stop moaning.
Il fallait y aller ce matin, à quatre pattes, dans la nuit. Il fallait aller gratter la terre avec tes ongles pendant qu'ils étaient tout près et te faire empoigner par eux comme une voleuse !	You needed to go there this morning, on your hands and knees, in the dark. You needed to scrape up the dirt with your fingernails while they were right next to you and then have them grab you like you were a common thief!
ISMENE	ISMENE
He bien, j'irai demain !	Alright, I'll go tomorrow!
ANTIGONE	ANTIGONE
Tu l'entends, Créon ? Elle aussi. Qui sait si cela ne va pas prendre à d'autres encore, en m'écoutant ? Qu'est-ce que tu attends pour me faire taire, qu'est-ce que tu attends pour appeler tes gardes ?	You hear that, Creon? Her too. Who knows, maybe others will do the same if they hear me. What are you waiting for? You need keep me quiet, why don't you call the guards?
Allons, Créon, un peu de courage, ce n'est qu'un mauvais moment à passer. Allons, cuisinier, puisqu'il le faut !	Come on Creon, a bit of courage, you know you can do it. Come on cook, since it's necessary!
CREON,	CREON,
crie soudain.	cries suddenly.
Gardes !	Guards!
Les gardes apparaissent aussitôt.	The guards appear immediately.
CREON	CREON
Emmenez-la.	Take her away.
ANTIGONE,	ANTIGONE,
dans un grand cri soulagé.	a great cry of relief.
Enfin, Créon!	Finally, Creon!
Les gardes se jettent sur elle et l'emmènent.	The guards throw themselves on her and take her away.
Ismène sort en criant derrière elle.	Ismene leaves behind her, crying:
ISMENE	ISMENE
Antigone ! Antigone !	Antigone! Antigone!
TABLEAU XIV : CREON, LE CHŒUR, HEMON	SCENE XIV: CREON, THE CHORUS, HAEMON
Créon est resté seul, le chœur entre et va à lui.	Creon remains alone, the chorus enters and goes up to him.
LE CHŒUR	THE CHORUS
Tu es fou, Créon. Qu'as-tu fait ?	You are mad, Creon. What have you done?
CREON,	CREON,
qui regarde au loin devant lui.	looking into the distance before him.
Il fallait qu'elle meure.	She had to die.
LE CHŒUR	THE CHORUS
Ne laisse pas mourir Antigone, Créon ! Nous allons tous porter cette plaie au côté, pendant des siècles.	Don't let Antigone die, Creon! We will all feel this wound in us, through the centuries to come.
CREON	CREON
C'est elle qui voulait mourir. Aucun de nous n'était assez fort pour la décider à vivre.	She wanted to die. None of us were strong enough to persuade her to live.
Je le comprends, maintenant, Antigone était faite pour être morte. Elle-même ne le savait peut-être pas, mais Polynice n'était qu'un prétexte. Quand elle a dû y renoncer, elle a trouvé autre chose tout de suite. Ce qui importait pour elle, c'était de refuser et de mourir.	I understand her now. Antigone was made to die. Maybe she didn't know it herself, but Polynices was just an excuse. If she'd had to change her mind this time, she'd have found something else. What was important for her was to say no and die.
LE CHŒUR	THE CHORUS
C'est une enfant, Créon.	She's a child, Creon.
CREON	CREON
Que veux-tu que je fasse pour elle ? La condamner à vivre ?	What I am supposed to do? Condemn her to live?
HEMON,	HAEMON
entre en criant.	enters, shouting.
Père !	Father!
CREON,	CREON,
court à lui, l'embrasse.	runs to him, kisses him.
Oublie-la, Hémon ; oublie-la, mon petit.	Forget her, Haemon; forget her, my son.
HEMON	HAEMON
Tu es fou, père. Lâche-moi.	You're crazy, father. Let go of me.
CREON,	CREON,
le tient plus fort.	holds him more tightly.
J'ai tout essayé pour la sauver, Hémon. J'ai tout essayé, je te le jure. Elle ne t'aime pas. Elle aurait pu vivre. Elle a préféré sa folie et la mort.	I did everything I could to try and save her, Haemon. I tried everything, I swear it. She doesn't love you. She could have lived. She preferred madness and death.
HEMON,	HAEMON
crie, tentant de s'arracher à son étreinte.	cries, trying to wrench himself from his embrace.
Mais, père, tu vois bien qu'ils l'emmènent ! Père, ne laisse pas ces hommes l'emmener !	But father, you see they're taking her away! Father, don't let those men take her away!
CREON	CREON
Elle a parlé maintenant. Tout Thèbes sait ce qu'elle a fait. Je suis obligé de la faire mourir.	She's talked. All Thebes knows what she's done. I have to put her to death.
HEMON,	HAEMON
s'arrache de ses bras.	pulls himself from his arms.
Lâche-moi !	Let me go!
Un silence.	A silence.
Ils sont l'un en face de l'autre.	They face each other.
Ils se regardent.	They look at each other.
LE CHŒUR,	THE CHORUS,
s'approche.	draws near.
Est-ce qu'on ne peut pas imaginer quelque chose, dire qu'elle est folle, l'enfermer ?	Can't you think of something, say she's mad, lock her up?
CREON	CREON
Ils diront que ce n'est pas vrai. Que je la sauve parce qu'elle allait être la femme de mon fils. Je ne peux pas.	They'll say it's not true. That I'm just saving her because she's going to marry my son. I can't do it.
LE CHŒUR	THE CHORUS
Est-ce qu'on ne peut pas gagner du temps, la faire fuir demain ?	Can't you gain some time, let her escape tomorrow?
CREON	CREON
La foule sait déjà, elle hurle autour du palais. Je ne peux pas.	The crowd knows already, they're all round the palace. I can't do it.
HEMON	HAEMON
Père, la foule n'est rien. Tu es le maître.	Father, the crowd is nothing. You are the master.
CREON	CREON
Je suis le maître avant la loi. Plus après.	I am the master before the law. Not after.
HEMON	HAEMON
Père, je suis ton fils, tu ne peux pas me la laisser prendre.	Father, I'm your son, you can't tell me to let them take her.
CREON	CREON
Si, Hémon. Si, mon petit. Du courage. Antigone ne peut plus vivre. Antigone nous a déjà quittés tous.	Yes, Haemon. Yes, son. Be strong. Antigone couldn't live. Antigone has already left us.
HEMON	HAEMON
Crois-tu que je pourrai vivre, moi, sans elle ? Crois-tu que je l'accepterai, votre vie ? Et tous les jours, depuis le matin jusqu'au soir, sans elle. Et votre agitation, votre bavardage, votre vide, sans elle.	Do you think I can live without her? Do you think I'll accept your life? All those days, from morning to night, without her. All those stupid things you do, those stupid things you say, without her.
CREON	CREON
Il faudra bien que tu acceptes, Hémon. Chacun de nous a un jour, plus ou moins triste, plus ou moins lointain, où il doit enfin accepter d'être un homme. Pour toi, c'est aujourd'hui...	You just have to accept it, Haemon. Everyone has a day, sad or happy, now or later, when he has to accept that he's a man. For you, that day is today.
Et te voilà devant moi avec ces larmes au bord de tes yeux et ton cœur qui te fait mal mon petit garçon, pour la dernière fois...	And here you are in front of me with those tears in your eyes and your heart hurting in your chest, my little boy, for the last time...
Quand tu te seras détourné, quand tu auras franchi ce seuil tout à l'heure, ce sera fini.	When you've turned round, when you've walked through that door a minute from now, it'll be over.
HEMON,	HAEMON
recule un peu, et dit doucement.	moves back a little, says softly.
C'est déjà fini.	It's already over.
CREON	CREON
Ne me juge pas, Hémon. Ne me juge pas, toi aussi.	Don't judge me, Haemon. Don't judge me, not you too.
HEMON,	HAEMON
le regarde, et dit soudain.	looks at him, says suddenly.
Cette grande force et ce courage, ce dieu géant qui m'enlevait dans ses bras et me sauvait des monstres et des ombres, c'était toi ? Cette odeur défendue et ce bon pain du soir sous la lampe, quand tu me montrais des livres dans ton bureau, c'était toi, tu crois ?	That strength and that courage, that god who lifted me in his arms and saved me from monsters and shadows, was that you? That comforting smell in the evening, under the lamp, when you showed me books in your study, do you think that was you?
CREON,	CREON,
humblement.	humbly.
Oui, Hémon.	Yes, Haemon.
HEMON	HAEMON
Tous ces soins, tout cet orgueil, tous ces livres pleins de héros, c'était donc pour en arriver là ? Etre un homme, comme tu dis, et trop heureux de vivre ?	All the care you took of me, all your pride, all those books full of heroes, that was to get here? To be a man, like you say, and happy to be alive?
CREON	CREON
Oui, Hémon.	Yes, Haemon.
HEMON,	HAEMON
crie soudain comme un enfant, se jetant dans ses bras.	cries suddenly like a child, throws himself into his arms.
Père, ce n'est pas vrai ! Ce n'est pas toi, ce n'est pas aujourd'hui ! Nous ne sommes pas tous les deux au pied de ce mur où il faut seulement dire oui. Tu es encore puissant, toi, comme lorsque j'étais petit.	Father, it's not true! It's not you, it's not today! We're not both of us in front of that wall where you can only say yes. You are still strong, like you were when I was little.
Ah ! je t'en supplie, père, que je t'admire, que je t'admire encore ! Je suis trop seul et le monde est trop nu si je ne peux plus t'admirer.	Oh, I'm begging you, father, I want to be able to look up to you, I still want to look up to you! I'm too alone and the world is too empty if I can't look up to you anymore.
CREON,	CREON,
le détache de lui.	pulls loose from him.
On est tout seul, Hémon. Le monde est nu. Et tu m'as admiré trop longtemps. Regarde-moi, c'est cela devenir un homme, voir le visage de son père en face, un jour.	We're all alone, Haemon. The world is empty. And you've looked up to me too long. Look straight at me, this is what it means to be a man, to look your father straight in the face one day.
HEMON,	HAEMON
le regarde, puis recule en criant.	looks at him, then backs away crying.
Antigone ! Antigone ! Au secours !	Antigone! Antigone! Help!
Il est sorti en courant.	He runs out.
LE CHŒUR,	THE CHORUS,
va à Créon.	goes to Creon.
Créon, il est sorti comme un fou.	Creon, he ran out like a madman.
CREON,	CREON,
qui regarde au loin, droit devant lui, immobile.	motionless, looking into the distance.
Oui. Pauvre petit, il l'aime.	Yes. Poor kid, he loves her.
LE CHŒUR	THE CHORUS
Créon, il faut faire quelque chose.	Creon, you have to do something.
CREON	CREON
Je ne peux plus rien.	I can't do anything anymore.
LE CHŒUR	THE CHORUS
Il est parti, touché à mort.	He's gone, he's received a deadly wound.
CREON,	CREON,
sourdement.	dully
Oui, nous sommes tous touchés à mort.	Yes, we've all received a deadly wound.
TABLEAU XV : CREON, LES GARDES, ANTIGONE	SCENE XV: CREON, THE GUARDS, ANTIGONE
Antigone entre dans la pièce, poussée par les gardes qui s'arc-boutent contre la porte, derrière laquelle on devine la foule hurlante.	Antigone enters, pushed by the guards who brace themselves against the door. Behind it, we sense the howling mob.
LE GARDE	THE GUARD
Chef, ils envahissent le palais !	Boss, they're breaking into the palace!
ANTIGONE	ANTIGONE
Créon, je ne veux plus voir leurs visages, je ne veux plus entendre leurs cris, je ne veux plus voir personne !	Creon, I don't want to see their faces, I don't want to hear their screaming, I don't want to see anyone anymore!
Tu as ma mort maintenant, c'est assez. Fais que je ne voie plus personne jusqu'à ce que ce soit fini.	You have my death now, that's enough. Fix things so I don't need to see anyone again until it's over.
CREON,	CREON,
sort en criant aux gardes.	leaves, shouting to the guards.
La garde aux portes! Qu'on vide le palais !	All guards to the gates! Empty the palace!
Reste ici avec elle, toi.	You, stay here with her.
Les deux autres gardes sortent, suivis par le chœur.	The two other guards leave, followed by the chorus.
Antigone reste seule avec le premier garde.	Antigone remains alone with the first guard.
Antigone le regarde.	Antigone looks at him.
TABLEAU XVI : ANTIGONE, LE GARDE	SCENE XVI: ANTIGONE, THE GUARD
ANTIGONE,	ANTIGONE,
dit soudain.	says suddenly.
Alors, c'est toi ?	So it's you?
LE GARDE	THE GUARD
Qui, moi ?	Who, me?
ANTIGONE	ANTIGONE
Mon dernier visage d'homme.	The last face I see.
LE GARDE	THE GUARD
Faut croire.	Guess so.
ANTIGONE	ANTIGONE
Que je te regarde...	Can I look at you...
LE GARDE	THE GUARD
s'éloigne, gêné.	moves away, embarrassed.
Ça va.	It's okay.
ANTIGONE	ANTIGONE
C'est toi qui m'as arrêtée, tout à l'heure ?	You were the one who arrested me earlier?
LE GARDE	THE GUARD
Oui, c'est moi.	Yeah, that was me.
ANTIGONE	ANTIGONE
Tu m'as fait mal. Tu n'avais pas besoin de me faire mal. Est-ce que j'avais l'air de vouloir me sauver ?	You hurt me. You didn't need to hurt me. Did I look like I wanted to escape?
LE GARDE	THE GUARD
Allez, allez, pas d'histoires ! Si ce n'était pas vous, c'était moi qui y passais.	Come on, come on, don't try anything! If it wasn't you, I'd be the one in trouble.
ANTIGONE	ANTIGONE
Quel âge as-tu ?	How old are you?
LE GARDE	THE GUARD
Trente-neuf ans.	Thirty-nine.
ANTIGONE	ANTIGONE
Tu as des enfants ?	You have children?
LE GARDE	THE GUARD
Oui, deux.	Yes, two.
ANTIGONE	ANTIGONE
Tu les aimes ?	You love them?
LE GARDE	THE GUARD
Cela ne vous regarde pas.	That's none of your business.
Il commence à faire les cent pas dans la pièce : pendant un moment on n'entend plus que le bruit de ses pas.	He start pacing up and down. For a moment, we only hear the sound of his steps.
ANTIGONE,	ANTIGONE,
demande tout humble.	demands humbly.
Il y a longtemps que vous êtes garde ?	You've been a guard long?
LE GARDE	THE GUARD
Après la guerre.	Since after the war.
J'étais sergent. J'ai rengagé.	I was a sergeant. Then I reenlisted in the Guard.
ANTIGONE	ANTIGONE
Il faut être sergent pour être garde ?	You need to be a sergeant to become a guard?
LE GARDE	THE GUARD
En principe, oui. Sergent ou avoir suivi le peloton spécial.	In principle, yes. Sergeant or in the special detail.
Devenu garde, le sergent perd son grade. Un exemple : je rencontre une recrue de l'armée, elle ne peut pas me saluer.	Once a sergeant becomes a guard, he loses his stripes. Like, if I meet an army recruit, he doesn't have to salute me.
ANTIGONE	ANTIGONE
Ah oui ?	Oh really?
LE GARDE	THE GUARD
Oui. Remarquez que, généralement, elle le fait. La recrue sait que le garde est un gradé.	Yup. But usually they do. The recruit knows the guard is really an N.C.O.
Question solde : on a la solde ordinaire du garde, comme ceux du peloton spécial, et, pendant six mois, à titre de gratification, un rappel de supplément de la solde de sergent. Seulement, comme gardes, on a d'autres avantages. Logement, chauffage, allocations.	So about salary: you get the ordinary guard salary, same as the special detail, and then for six months, to make sure you don't lose out, supplement to bring you up to sergeant's salary. But if you're a guard, you get other stuff. Free lodging, heating, family allowance.
Finalement, le garde marié avec deux enfants arrive à se faire plus que le sergent de l'active.	So in the end, a guard with a wife and two kids makes more than an active duty sergeant.
ANTIGONE	ANTIGONE
Ah oui ?	Oh really?
LE GARDE	THE GUARD
Oui. C'est ce qui vous explique la rivalité entre le garde et le sergent. Vous avez peut-être pu remarquer que le sergent affecte de mépriser le garde.	Yeah. See, that's why the guards and the sergeants don't get on. Maybe you've noticed, the sergeants say they don't reckon much to the guards.
Leur grand argument, c'est l'avancement. D'un sens, c'est juste. L'avancement du garde est plus lent et plus difficile que dans l'armée. Mais vous ne devez pas oublier qu'un brigadier des gardes, c'est autre chose qu'un sergent chef.	What they always bring up, that's promotion. Like in a way they're right. Promotion's slower in the Guard than in the army. But don't you forget, an N.C.O. in the Guard is way more than an ordinary sergeant-major.
ANTIGONE,	ANTIGONE,
lui dit soudain.	says suddenly.
Ecoute...	Listen...
LE GARDE	THE GUARD
Oui.	Yes.
ANTIGONE	ANTIGONE
Je vais mourir tout à l'heure.	I'm going to die soon.
Le garde ne répond pas.	The guard doesn't answer.
Un silence.	A silence.
Il fait les cent pas.	He paces.
Au bout d'un moment, il reprend.	After a moment, he starts up again.
LE GARDE	THE GUARD
D'un autre côté, on a plus de considération pour le garde que pour le sergent de l'active. Le garde, c'est un soldat, mais c'est presque un fonctionnaire.	On the other hand, people have more respect for a guard than for an active sergeant. A guard, he's a soldier, sure, but he's almost a government employee.
ANTIGONE	ANTIGONE
Tu crois qu'on a mal pour mourir ?	Do you think it hurts to die?
LE GARDE	THE GUARD
Je ne peux pas vous dire. Pendant la guerre, ceux qui étaient touchés au ventre, ils avaient mal. Moi, je n'ai pas été blessé. Et, d'un sens, ça m'a nui pour l'avancement.	Depends. During the war, the ones who got wounded in the stomach, they hurt bad. I never got wounded. In a way that's a shame, messed up my chances for promotion.
ANTIGONE	ANTIGONE
Comment vont-ils me faire mourir ?	How are they going to kill me?
LE GARDE	THE GUARD
Je ne sais pas. Je crois que j'ai entendu dire que pour ne pas souiller la ville de votre sang, ils allaient vous murer dans un trou.	I dunno. I think someone said they didn't want to soil the city with your blood, so they're gonna wall you up in a hole.
ANTIGONE	ANTIGONE
Vivante ?	Alive?
LE GARDE	THE GUARD
Oui, d'abord.	Yeah. Well, to start with.
Un silence.	A silence.
Le garde se fait une chique.	The guard rolls himself a cigarette.
ANTIGONE	ANTIGONE
O tombeau ! O lit nuptial ! O ma demeure souterraine ! ...	O tomb! O nuptial bed! O my abode beneath the earth! ...
(Elle est toute petite au milieu de la grande pièce nue. On dirait qu'elle a un peu froid. Elle s'entoure de ses bras. Elle murmure.)	(She is so small in the middle of the great empty room. She looks like she's cold. She wraps her arms around herself.
Toute seule...	All alone...
LE GARDE	THE GUARD
qui a fini sa chique.	who has finished his cigarette.
Aux cavernes de Hadès, aux portes de la ville. En plein soleil. Une drôle de corvée encore pour ceux qui seront de faction.	In the caverns of Hades, at the gates of the city. In broad daylight. Another weird assignment for the people in the business.
Il avait d'abord été question d'y mettre l'armée. Mais, aux dernières nouvelles, il paraît que c'est encore la garde qui fournira les piquets.	First of all they were going to call in the army. But last I heard, it'll be the Guard again with the detail.
Elle a bon dos, la garde ! Etonnez-vous après qu'il existe une jalousie entre le garde et le sergent d'active...	You see, us guards can do anything! You see why the active sergeants are jealous.
ANTIGONE,	ANTIGONE,
murmure, soudain lasse.	murmurs, suddenly tired.
Deux bêtes...	Two animals...
LE GARDE	THE GUARD
Quoi, deux bêtes ?	What do you mean, two animals?
ANTIGONE	ANTIGONE
Des bêtes se serreraient l'une contre l'autre pour se faire chaud. Je suis toute seule.	Two animals can huddle together to stay warm. I'm all alone.
LE GARDE	THE GUARD
Si vous avez besoin de quelque chose, c'est différent. Je peux appeler.	If you need anything, that's different. I can call.
ANTIGONE	ANTIGONE
Non. Je voudrais seulement que tu remettes une lettre à quelqu'un quand je serai morte.	No. I just want you to give a letter to someone when I'm dead.
LE GARDE	THE GUARD
Comment ça, une lettre ?	What sort of letter?
ANTIGONE	ANTIGONE
Une lettre que j'écrirai.	A letter that I'm going to write.
LE GARDE	THE GUARD
Ah ! ça non ! Pas d'histoires ! Une lettre ! Comme vous y allez, vous ! Je risquerais gros, moi, à ce petit jeu-là !	Uh-uh! You gotta be kidding! A letter! Jeez, you like to try it on don't you! That could really get me into trouble.
ANTIGONE	ANTIGONE
Je te donnerai cet anneau si tu acceptes.	I'll give you this ring if you do it.
LE GARDE	THE GUARD
C'est de l'or ?	It's gold?
ANTIGONE	ANTIGONE
Oui. C'est de l'or.	Yes. It's gold.
LE GARDE	THE GUARD
Vous comprenez, si on me fouille, moi, c'est le conseil de guerre. Cela vous est égal, à vous ?	You understand, if they frisk me we're talking court-martial. But I guess you aren't bothered.
(Il regarde encore la bague.)	(He looks at the ring again.)
Ce que je peux, si vous voulez, c'est écrire sur mon carnet ce que vous auriez voulu dire. Après, j'arracherai la page.	Look, here's what I can do if you like, I can write in my pad what you want to say. Then I'll tear the page out.
De mon écriture, ce n'est pas pareil.	If it's in my handwriting it's not the same.
ANTIGONE,	ANTIGONE,
a les yeux fermés : elle murmure avec un pauvre rictus.	her eyes are closed. She murmurs with a poor, convulsive smile.
Ton écriture...	Your handwriting...
(Elle a un petit frisson.)	(She shivers.)
C'est trop laid, tout cela, tout est trop laid.	All of this is so ugly, it's all just so ugly.
LE GARDE	THE GUARD
vexé, fait mine de rendre la bague.	annoyed, pretends he'll give back the ring.
Vous savez, si vous ne voulez pas, moi...	Okay, if you don't like the deal then...
ANTIGONE	ANTIGONE
Si. Garde la bague et écris. Mais fais vite... J'ai peur que nous n'ayons plus le temps...	No. Keep the ring and write. But hurry... I'm worried we won't have time.
Ecris : « Mon chéri... »	"Write: ""My darling..."""
LE GARDE	THE GUARD
qui a pris son carnet et suce sa mine.	who has taken his pad and licks his pencil.
C'est pour votre bon ami ?	It's for your boyfriend then?
ANTIGONE	ANTIGONE
Mon chéri, j'ai voulu mourir et tu ne vas peut-être plus m'aimer...	My darling, I have chosen to die, and maybe you don't love me anymore...
LE GARDE	THE GUARD
répète lentement de sa grosse voix en écrivant.	repeats slowly in his coarse voice as he writes.
« Mon chéri, j'ai voulu mourir et tu ne vas peut-être plus m'aimer... »	"""My darling, I have chosen to die, and maybe you don't love me anymore..."""
ANTIGONE	ANTIGONE
Et Créon avait raison, c'est terrible, maintenant, à côté de cet homme, je ne sais plus pourquoi je meurs. J'ai peur...	And Creon is right, it's horrible, now, next to this man, I don't know anymore why I am dying. I'm scared...
LE GARDE	THE GUARD
qui peine sur sa dictée.	painfully taking dictation.
« Créon avait raison, c'est terrible... »	"""Creon is right, it's horrible..."""
ANTIGONE	ANTIGONE
Oh ! Hémon, notre petit garçon. Je le comprends seulement maintenant combien c'était simple de vivre...	Oh Haemon, our little boy. It's only now I understand how simple it is to live...
LE GARDE	THE GUARD
s'arrête.	stops.
Eh ! Dites, vous allez trop vite. Comment voulez-vous que j'écrive ? Il faut le temps tout de même...	Look, you're going too fast. How'm I supposed to write this down? It takes time you know...
ANTIGONE	ANTIGONE
Où en étais-tu ?	Where are you?
LE GARDE	THE GUARD
se relit.	rereads.
« C'est terrible maintenant à côté de cet homme... »	"""It's horrible next to this man..."""
